ticker;year_report;quarter_report;period_date;pe;pb;ps;price_to_cash_flow;ev_to_ebitda;roe;roa;gross_margin;pre_tax_margin;after_tax_margin;debt_to_equity;financial_leverage;current_ratio;quick_ratio;cash_ratio;asset_turnover;market_cap;shares;net_interest_margin;cir;car;casa_ratio;npl;ldr;loans_growth;deposit_growth
A32;2024;4;;6.7533981719;1.1990841712;0.3647583185;4.1675049593;4.6604822315;0.1772204419;0.0784320184;0.0994945838;0.0628118454;0.0540110785;1.2425332981;1.2425332981;1.3530463528;0.8067823841;0.3773580846;1.4521468672;265200000000.0;6800000.0;0.0;0.0;;;0.0;0.0;0.0;0.0
A32;2025;4;;4.4244110032;0.9753350362;0.2893773095;-4.0393462308;3.64637076;0.2251526455;0.1030807167;0.1034446392;0.0786711609;0.065404708;1.128366262;1.128366262;1.4322579575;0.8784825728;0.1145141553;1.5760442933;225080000000.0;6800000.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAA;2024;1;;12.5080225089;0.8445224647;0.3864648513;2.0394431797;8.2075127527;0.0670065392;0.0321136943;0.0999027891;0.0390209388;0.0325424092;0.9273408861;0.9273408861;1.613742725;1.4365999249;0.5914037315;1.039366994;4625521401600.0;382274496.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAA;2024;2;;7.78709072;0.6470358017;0.3017291453;1.4604076709;6.5020387863;0.0839567952;0.0393562604;0.1102880105;0.0485161831;0.0399280516;0.9908038709;0.9908038709;1.7053161764;1.4584152668;0.6064708163;1.0157148388;3608671242240.0;382274496.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAA;2024;3;;8.1470436056;0.6224852259;0.2706504383;2.0234377439;8.9733006564;0.0719877681;0.0318345851;0.1156739776;0.0365853399;0.0299621667;1.144684687;1.144684687;1.6818209209;1.4065087445;0.4703422067;0.9582757532;3146119102080.0;382274496.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAA;2024;4;;7.166729488;0.4952393294;0.2066553842;2.7546966349;6.7310940005;0.0690355966;0.0290774244;0.1161069266;0.03251123;0.0250176868;1.2077631111;1.2077631111;1.5550447851;1.2437528283;0.5854719138;1.0083939285;2641516767360.0;382274496.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAA;2025;1;;10.3541842842;0.5363871712;0.2113371778;4.0512740497;5.509969242;0.0522854527;0.0217831852;0.1181727186;0.0231173417;0.0169216349;1.0182521315;1.0182521315;1.5682383023;1.2975281549;0.6889566757;1.067238221;2889995189760.0;382274496.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAA;2025;2;;11.1522554546;0.5988744688;0.2382921196;4.5035356163;5.2976137303;0.0522924548;0.0215009343;0.1220843979;0.0265022503;0.0207877614;1.0804341818;1.0804341818;1.4270822498;1.1176476907;0.5348560349;1.0325442935;3146004412700.0;393742730.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAA;2025;3;;8.3962423688;0.593398595;0.2582884052;2.9225089298;4.3364854214;0.0694045972;0.0294449712;0.1303941148;0.0431384117;0.0343805227;1.0342265424;1.0342265424;1.4070693895;1.1636284582;0.5597928203;0.9833036659;3197190967600.0;393742730.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAA;2025;4;;7.3731334391;0.5126610163;0.2613170879;2.8119548874;4.2351383661;0.069043546;0.0279756272;0.1391510932;0.050075816;0.0395148758;1.1205981631;1.1205981631;1.3820509558;1.0943937187;0.4932489661;0.8048176824;2803448237600.0;393742730.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAH;2024;3;;34.584152278;0.3432772277;0.4971261981;3.4258972159;7.9128703873;0.0099808736;0.0087261845;0.0572904086;0.0212546815;0.014374393;0.1985794297;0.1985794297;2.0339552044;1.7563223705;0.0411796454;0.6070645545;408759300000.0;117900000.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAH;2024;4;;37.9723877401;0.3807695467;0.3869575652;4.9379046139;5.3337251491;0.0100780667;0.0085955701;0.0467378575;0.0179706286;0.0101904986;0.2216145859;0.2216145859;1.5906659288;1.5064132089;0.0332410432;0.8434886629;453561300000.0;117900000.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAH;2025;1;;15.967061882;0.4002581698;0.3804795214;-3.7518476306;9.6235947297;0.0253279233;0.021291346;0.043764713;0.0314350076;0.0238290253;0.2151602913;0.2151602913;1.7041721253;1.5508113579;0.0010259318;0.893504697;483390000000.0;117900000.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAH;2025;2;;20.5656362128;0.38779363;0.3669010419;-19.3843955585;4.7339085921;0.0189027071;0.0156431095;0.0430575347;0.0241745875;0.0178404907;0.1977566217;0.1977566217;1.7514877939;1.6374288156;0.013726468;0.8768317978;466294500000.0;117900000.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAH;2025;3;;23.406667349;0.3429658488;0.3484413666;-1.9849768591;3.0821710396;0.0146534104;0.0119315258;0.0435000875;0.020495459;0.0148864151;0.2776808569;0.2776808569;1.5399437971;1.4239712065;0.002816381;0.8015043036;412414200000.0;117900000.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAH;2025;4;;1423.6178372097;0.327147087;0.4616721206;7.1041575086;4.6278717332;0.0002298262;0.0001883148;0.0348490984;0.0047732942;0.000324295;0.2192586388;0.2192586388;1.6465030139;1.5894801934;0.0280791978;0.5806897124;389777400000.0;117900000.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAM;2024;1;;-32.9367378439;0.4272939377;0.6077740302;-4.3553357659;-6.3746308645;-0.0128425682;-0.0121754787;-0.0074440939;-0.0186080006;-0.0184527695;0.0512106152;0.0512106152;18.7356517696;4.8757708834;3.0001593899;0.6598185004;85699692400.0;10451182.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAM;2024;2;;-14.8075983971;0.3782322151;0.5592695716;-4.1936224591;-3.7847244671;-0.0252435768;-0.0237524892;-0.0167049755;-0.0387107939;-0.0377690937;0.0755673134;0.0755673134;12.7282825029;3.8380028746;2.7956427847;0.6288869256;75248510400.0;10451182.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAM;2024;3;;-13.8916073384;0.3753808879;0.4752649706;-42.7559284379;-2.8863794187;-0.0267139227;-0.0251614755;0.0117906933;-0.0350239056;-0.0342123815;0.0699224249;0.0699224249;13.7899047699;5.3180769707;4.0974787114;0.7354494006;74203392200.0;10451182.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAM;2024;4;;-10.7239560616;0.3438657583;0.4398824902;1.9831746741;-3.4558783931;-0.0315592202;-0.030325258;0.028404805;-0.04096374;-0.041018677;0.0306261649;0.0306261649;33.578498405;15.529451234;12.7142592508;0.7393036596;67514635720.0;10451182.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAM;2025;1;;-25.8230558623;0.3941374599;0.4493034824;1.4515738006;5.3813028578;-0.0152568832;-0.0144636469;0.0724389531;-0.0173506581;-0.017399315;0.0429532908;0.0429532908;22.9291776346;12.6701909499;9.0930281958;0.8312768036;77861305900.0;10451182.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAM;2025;2;;-271.8356101885;0.3708576386;0.3618664607;1.1287819903;-0.9088547344;-0.0013719835;-0.001309986;0.1049821872;0.0046879216;-0.0013311959;0.0456981231;0.0456981231;21.7294025785;15.5603797932;10.4363737397;0.9840670112;73680833100.0;10451182.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAM;2025;3;;51.4645517087;0.3622390447;0.3673836523;0.8440944411;-1.9014306281;0.0070800712;0.006835349;0.1184170943;0.013767192;0.0071385768;0.0239357907;0.0239357907;46.5378720827;41.0556350886;26.7405863334;0.9575226549;72113155800.0;10451182.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAM;2025;4;;37.8601972191;0.3529547973;0.4101838169;1.1374282221;-2.3147882679;0.0093640482;0.009155644;0.1243104766;0.0215584877;0.0108341701;0.0149682468;0.0149682468;91.4694654174;75.2878096634;14.1105855561;0.8450710916;69918407580.0;10451182.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAS;2024;1;;16.2955857643;0.7620496025;3.3900410339;-1.1804856573;12.8908851935;0.0471273021;0.0331929756;0.4029675;0.2367199538;0.1895974065;0.5016084581;0.5016084581;3.3447782752;3.3447782752;0.8871333175;0.1750708316;1872426100461.0;229999521.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAS;2024;2;;19.5804283278;0.6695042655;3.2792872652;-1.261229981;12.312290406;0.034597014;0.0237280807;0.4372175189;0.2089021943;0.1671586145;0.5459514257;0.5459514257;3.1257678948;3.1257678948;0.7702043451;0.1419494939;1658066546889.0;229999521.0;0.0;0.0;;;0.0;0.0;0.0;0.0
AAS;2024;3;;24.6889669616;0.7583995038;4.2135056909;-3.4472497506;14.4603398976;0.0311018013;0.0207358016;0.5040871036;0.2132774592;0.1706635072;0.4894490259;0.4894490259;3.4079970237;3.4079970237;0.531895791;0.1215010868;1890366063099.0;229999521.0;0.0;0.0;;;0.0;0.0;0.0;0.0
