symbol,period_type,period,roe,roa,eps,pe,pb,net_margin,debt_to_equity,profit_after_tax,status,source
ACB,quarter,2024-Q1,0.2297,0.0232,,6.78,1.43,0.4793,8.7244,15815122978688.51,PARTIAL,csv
ACB,quarter,2024-Q2,0.2285,0.0229,,7.06,1.55,0.4883,9.2908,16417866845574.14,PARTIAL,csv
ACB,quarter,2024-Q3,0.2171,0.0217,,6.78,1.4,0.4875,8.8586,16250682847243.54,PARTIAL,csv
ACB,quarter,2024-Q4,0.2175,0.0212,,6.41,1.29,0.501,9.3521,16789767842224.0,PARTIAL,csv
ACB,quarter,2025-Q1,0.2044,0.0201,,7.04,1.34,0.498,9.2404,16562614864603.83,PARTIAL,csv
ACB,quarter,2025-Q2,0.2017,0.0196,,7.96,1.55,0.5007,9.7044,16975184039648.55,PARTIAL,csv
ACB,quarter,2025-Q3,0.1992,0.0191,,7.28,1.39,0.5091,9.3762,17385378040571.55,PARTIAL,csv
ACB,quarter,2025-Q4,0.1756,0.0165,,7.82,1.29,0.4623,9.8533,15624699036601.42,PARTIAL,csv
ACB,quarter,2026-Q1,0.175,0.0165,,8.15,1.34,0.4676,9.4394,16266821033605.9,PARTIAL,csv
ACB,quarter,2026-Q2,0.1633,0.0154,,8.11,1.28,0.4526,9.7522,15678139997289.23,PARTIAL,csv
ACB,year,2018,0.1754,0.0099,3.06,,2.03,0.2308,16.4565,0.23,PARTIAL,vnstock
ACB,year,2024,0.2175,0.0212,,6.41,1.29,0.501,9.3521,16789767842224.0,PARTIAL,csv
ACB,year,2025,0.1756,0.0165,,7.82,1.29,0.4623,9.8533,15624699036601.42,PARTIAL,csv
BID,quarter,2024-Q1,0.1805,0.0099,,12.13,2.14,0.3003,17.0497,21895946677352.3,PARTIAL,csv
BID,quarter,2024-Q2,0.1806,0.0098,,12.33,2.17,0.3009,17.7138,22835766663483.8,PARTIAL,csv
BID,quarter,2024-Q3,0.1783,0.0096,,11.49,2.02,0.311,17.6072,23404204714953.6,PARTIAL,csv
BID,quarter,2024-Q4,0.1878,0.0099,,10.04,1.77,0.3101,18.0516,25532853205716.84,PARTIAL,csv
BID,quarter,2025-Q1,0.1754,0.0094,,10.61,1.8,0.3077,17.3194,25580104994600.2,PARTIAL,csv
BID,quarter,2025-Q2,0.1698,0.0091,,10.75,1.77,0.3055,17.3833,25858344236301.31,PARTIAL,csv
BID,quarter,2025-Q3,0.1669,0.009,,14.41,2.35,0.3011,17.287,26548366410130.15,PARTIAL,csv
BID,quarter,2025-Q4,0.1878,0.0098,,9.46,1.65,0.3278,18.192,31018316980329.81,PARTIAL,csv
BID,quarter,2026-Q1,0.1777,0.0097,,9.16,1.58,0.3283,16.7744,31979030341126.8,PARTIAL,csv
BID,quarter,2026-Q2,0.1765,0.0098,,8.41,1.44,0.3375,16.3095,33056131195736.43,PARTIAL,csv
BID,year,2018,0.1452,0.0061,2.12,,1.88,0.1661,23.1509,0.17,PARTIAL,vnstock
BID,year,2024,0.1878,0.0099,,10.04,1.77,0.3101,18.0516,25532853205716.84,PARTIAL,csv
BID,year,2025,0.1878,0.0098,,9.46,1.65,0.3278,18.192,31018316980329.81,PARTIAL,csv
CMG,quarter,2024-Q1,0.126,0.0463,,37.32,4.59,0.0534,1.0715,325587955140.74,PARTIAL,csv
CMG,quarter,2024-Q2,0.1232,0.0457,,31.12,3.72,0.0533,1.1227,324916200662.34,PARTIAL,csv
CMG,quarter,2024-Q3,0.1224,0.045,,29.76,3.46,0.0512,1.2276,318134448636.59,PARTIAL,csv
CMG,quarter,2024-Q4,0.1144,0.0416,,21.68,2.37,0.0484,1.1529,312336245988.48,PARTIAL,csv
CMG,quarter,2025-Q1,0.1243,0.046,,25.46,3.04,0.0521,1.0876,348620509318.27,PARTIAL,csv
CMG,quarter,2025-Q2,0.1248,0.0465,,22.82,2.71,0.0518,1.0729,360055596783.68,PARTIAL,csv
CMG,quarter,2025-Q3,0.1318,0.0491,,20.3,2.59,0.055,1.2189,391208782317.83,PARTIAL,csv
CMG,quarter,2025-Q4,0.131,0.0445,,17.12,2.13,0.0547,1.5174,395833986800.01,PARTIAL,csv
CMG,quarter,2026-Q1,0.1319,0.0447,,14.79,1.88,0.0541,1.5571,413246421888.7,PARTIAL,csv
CMG,quarter,2026-Q2,0.1227,0.0395,,13.66,1.61,0.0519,1.5685,393977082844.02,PARTIAL,csv
CMG,year,2018,0.1251,0.0541,0.28,,1.41,0.041,1.4009,0.04,PARTIAL,vnstock
CMG,year,2024,0.1144,0.0416,,21.68,2.37,0.0484,1.1529,312336245988.48,PARTIAL,csv
CMG,year,2025,0.131,0.0445,,17.12,2.13,0.0547,1.5174,395833986800.01,PARTIAL,csv
CTG,quarter,2024-Q1,0.1617,0.0103,,8.53,1.33,0.2771,14.9104,20144666033680.9,PARTIAL,csv
CTG,quarter,2024-Q2,0.1574,0.01,,9.53,1.43,0.2723,14.8961,20306655034133.37,PARTIAL,csv
CTG,quarter,2024-Q3,0.162,0.0102,,9.16,1.42,0.274,14.8157,21669439036211.51,PARTIAL,csv
CTG,quarter,2024-Q4,0.1848,0.0115,,8.0,1.37,0.3095,15.0627,25348215226582.93,PARTIAL,csv
CTG,quarter,2025-Q1,0.1782,0.0112,,9.22,1.56,0.3098,15.0399,25808280230743.48,PARTIAL,csv
CTG,quarter,2025-Q2,0.1983,0.0124,,9.7,1.8,0.3561,14.9302,30112870269300.8,PARTIAL,csv
CTG,quarter,2025-Q3,0.2096,0.013,,9.66,1.91,0.3915,15.2558,33335795206178.31,PARTIAL,csv
CTG,quarter,2025-Q4,0.2109,0.0134,,7.87,1.53,0.3964,14.4056,34604481213988.54,PARTIAL,csv
CTG,quarter,2026-Q1,0.2171,0.0138,,6.65,1.35,0.4144,14.4971,38102585235561.72,PARTIAL,csv
