symbol,time,close,close_6m_ago,return_6m,rs_percentile,vn_index,vn_sma200,market_regime,rs_pass,regime_pass,layer2_pass
BID,2026-09-21 09:00:00,36.2,37.61,-0.03749002924754041,47.05882352941176,1799.67,1793.2124500000002,Bullish,False,True,False
CTG,2026-09-21 09:00:00,31.0,34.13,-0.09170817462642844,29.411764705882355,1799.67,1793.2124500000002,Bullish,False,True,False
FPT,2026-09-21 09:00:00,66.4,68.87,-0.03586467257151149,52.94117647058824,1799.67,1793.2124500000002,Bullish,False,True,False
FRT,2026-09-21 09:00:00,130.1,141.9,-0.08315715292459491,35.294117647058826,1799.67,1793.2124500000002,Bullish,False,True,False
GMD,2026-09-21 09:00:00,77.0,74.34,0.03578154425612046,82.35294117647058,1799.67,1793.2124500000002,Bullish,True,True,True
HPG,2026-09-21 09:00:00,21.1,23.84,-0.11493288590604023,17.647058823529413,1799.67,1793.2124500000002,Bullish,False,True,False
MBB,2026-09-21 09:00:00,20.2,21.14,-0.04446546830652798,41.17647058823529,1799.67,1793.2124500000002,Bullish,False,True,False
MSN,2026-09-21 09:00:00,67.7,75.4,-0.10212201591511938,23.52941176470588,1799.67,1793.2124500000002,Bullish,False,True,False
MWG,2026-09-21 09:00:00,71.7,81.14,-0.11634212472270145,11.76470588235294,1799.67,1793.2124500000002,Bullish,False,True,False
PNJ,2026-09-21 09:00:00,36.9,76.6,-0.5182767624020888,5.88235294117647,1799.67,1793.2124500000002,Bullish,False,True,False
SAB,2026-09-21 09:00:00,43.85,41.49,0.05688117618703292,88.23529411764706,1799.67,1793.2124500000002,Bullish,True,True,True
SSI,2026-09-21 09:00:00,20.9,21.58,-0.03151065801668207,58.82352941176471,1799.67,1793.2124500000002,Bullish,False,True,False
TCB,2026-09-21 09:00:00,32.25,29.43,0.09582059123343534,94.11764705882352,1799.67,1793.2124500000002,Bullish,True,True,True
VCB,2026-09-21 09:00:00,58.9,59.31,-0.006912830888551769,70.58823529411765,1799.67,1793.2124500000002,Bullish,True,True,True
VHM,2026-09-21 09:00:00,68.1,49.26,0.3824604141291108,100.0,1799.67,1793.2124500000002,Bullish,True,True,True
VND,2026-09-21 09:00:00,14.7,15.16,-0.03034300791556732,64.70588235294117,1799.67,1793.2124500000002,Bullish,True,True,True
VNM,2026-09-21 09:00:00,60.3,59.06,0.020995597697256896,76.47058823529412,1799.67,1793.2124500000002,Bullish,True,True,True
