symbol,period_type,period,roe,roa,eps,pe,pb,net_margin,debt_to_equity,profit_after_tax,status,source,year,quarter,period_number,net_profit_ttm,profit_after_tax_prev_year,profit_growth_yoy,equity_average,roe_ttm,quarter_count,profit_growth_pass,roe_pass,quality_pass,sector
BID,quarter,2026-Q2,0.1765,0.0098,,8.41,1.44,0.3375,16.3095,33056131195736.43,PARTIAL,csv,2026,2,8106,122601844927323.19,25858344236301.31,0.2783545185128477,,0.177225,10,True,True,True,BANK
CTG,quarter,2026-Q2,0.2176,0.0141,,5.85,1.18,0.4124,13.7942,40172760248177.65,PARTIAL,csv,2026,2,8106,146215621903906.22,30112870269300.8,0.33407276984594236,,0.2138,10,True,True,True,BANK
FPT,quarter,2026-Q2,0.2647,0.1278,,12.23,3.08,0.1718,0.7944,10049016077728.24,PARTIAL,csv,2026,2,8106,38193355963047.03,8674830190869.59,0.1584106958433613,,0.272375,10,True,True,True,OTHER
FRT,quarter,2026-Q2,0.2754,0.047,,20.58,4.88,0.0245,3.5707,1137085521639.16,PARTIAL,csv,2026,2,8106,3462656686783.2397,538629658638.85,1.111071129118,,0.25887499999999997,10,True,True,True,OTHER
GMD,quarter,2026-Q2,0.1934,0.1274,,12.83,2.43,0.4859,0.3628,2608949483883.5,PARTIAL,csv,2026,2,8106,7781347511664.38,1632359638725.75,0.5982688017942505,,0.14735,10,True,True,True,OTHER
HPG,quarter,2026-Q2,0.1738,0.0891,,7.84,1.29,0.1226,0.971,23217424348837.35,PARTIAL,csv,2026,2,8106,74171226660875.45,13432363907399.06,0.7284689805082116,,0.1462,10,True,True,True,OTHER
MBB,quarter,2026-Q2,0.2069,0.0191,,6.18,1.27,0.4121,10.055,32396304426783.77,PARTIAL,csv,2026,2,8106,111201833068081.31,24533979625175.24,0.3204667535282659,,0.20202499999999998,10,True,True,True,BANK
MSN,quarter,2026-Q2,0.1937,0.0538,,14.77,2.49,0.1029,1.8841,6763535694353.03,PARTIAL,csv,2026,2,8106,18626742234867.492,2690206954287.9,1.5141321129858367,,0.141825,10,True,True,True,OTHER
MWG,quarter,2026-Q2,0.292,0.1116,,10.88,2.99,0.0563,1.8861,9832809093491.36,PARTIAL,csv,2026,2,8106,30885316264616.137,4885610089404.28,1.0126061870586789,,0.244075,10,True,True,True,OTHER
PNJ,quarter,2026-Q2,0.184,0.1244,,7.69,1.4,0.0562,0.6049,2446253233228.73,PARTIAL,csv,2026,2,8106,11282131043153.44,2086699827462.42,0.1723072006018007,,0.22360000000000002,10,True,True,True,OTHER
SAB,quarter,2026-Q2,0.2228,0.1509,,11.9,2.9,0.1883,0.4785,4774550067404.25,PARTIAL,csv,2026,2,8106,18339964279396.03,4085165739965.83,0.16875308648901627,,0.207825,10,True,True,True,OTHER
SSI,quarter,2026-Q2,0.1341,0.05,,12.21,1.58,0.3366,1.3686,5261167137043.89,PARTIAL,csv,2026,2,8106,20119660731320.2,3253103240828.61,0.6172764119542048,,0.13585,10,True,True,True,SECURITIES
TCB,quarter,2026-Q2,0.1476,0.0227,,8.25,1.25,0.4703,5.736,27136067578949.7,PARTIAL,csv,2026,2,8106,100578370586974.0,21380296720617.42,0.269209119664924,,0.146475,10,True,True,True,BANK
VCB,quarter,2026-Q2,0.1792,0.0166,,12.02,2.01,0.4907,9.6943,41648390970065.03,PARTIAL,csv,2026,2,8106,147878044624420.9,34660089842359.1,0.20162386074271868,,0.168675,10,True,True,True,BANK
VHM,quarter,2026-Q2,0.3258,0.0902,,7.3,2.21,0.3583,2.9091,79933265038713.48,PARTIAL,csv,2026,2,8106,211778502881038.38,28686773545527.66,1.786415311288128,,0.2302,10,True,True,True,OTHER
VND,quarter,2026-Q2,0.128,0.0525,,8.57,1.08,0.3688,1.3267,2698932822089.11,PARTIAL,csv,2026,2,8106,8837316269855.28,1515478874666.2,0.780910883817881,,0.10752500000000001,10,True,True,True,SECURITIES
VNM,quarter,2026-Q2,0.3386,0.1976,,11.67,4.01,0.1592,0.6108,10962885104073.49,PARTIAL,csv,2026,2,8106,39337009335939.28,8570235859472.98,0.27918125986647513,,0.30465,10,True,True,True,OTHER
ACB,quarter,2026-Q2,0.1633,0.0154,,8.11,1.28,0.4526,9.7522,15678139997289.23,PARTIAL,csv,2026,2,8106,64955038108068.1,16975184039648.55,-0.07640824625699752,,0.17827500000000002,10,False,True,False,BANK
CMG,quarter,2026-Q2,0.1227,0.0395,,13.66,1.61,0.0519,1.5685,393977082844.02,PARTIAL,csv,2026,2,8106,1594266273850.56,360055596783.68,0.09421180052012891,,0.12935000000000002,10,False,True,False,OTHER
GAS,quarter,2026-Q2,0.1889,0.1327,,17.19,3.09,0.0811,0.4634,12355063856798.48,PARTIAL,csv,2026,2,8106,46475422644763.54,11728443896937.79,0.0534273741143356,,0.18295,10,False,True,False,OTHER
HCM,quarter,2026-Q2,0.0977,0.0306,,19.96,1.99,0.2296,1.8183,1752983481519.76,PARTIAL,csv,2026,2,8106,6244349711434.971,1286125482278.34,0.3629956840715047,,0.09912499999999999,10,True,False,False,SECURITIES
HSG,quarter,2026-Q2,0.0571,0.0307,,12.49,0.69,0.0184,0.8712,656268324251.27,PARTIAL,csv,2026,2,8106,2567718283895.67,466517858093.3,0.40673784050517825,,0.056674999999999996,10,True,False,False,OTHER
KDH,quarter,2026-Q2,0.095,0.048,,10.08,0.95,0.7231,0.9765,1758482485145.91,PARTIAL,csv,2026,2,8106,4979721409989.42,803608100462.71,1.1882338967631016,,0.068325,10,True,False,False,OTHER
NKG,quarter,2026-Q2,0.0218,0.0099,,29.23,0.64,0.0115,1.4033,166581145992.19,PARTIAL,csv,2026,2,8106,782882593464.4099,298165960745.59,-0.44131400654977754,,0.025675000000000003,10,False,False,False,OTHER
NLG,quarter,2026-Q2,0.0517,0.0232,,17.11,0.94,0.1734,0.7516,683101544393.41,PARTIAL,csv,2026,2,8106,3393624696078.29,657982570026.41,0.03817574433011467,,0.06532500000000001,10,False,False,False,OTHER
PLX,quarter,2026-Q2,0.1246,0.0345,,14.8,1.87,0.0094,2.0276,3270692963427.66,PARTIAL,csv,2026,2,8106,10380619015925.55,2110967249577.1,0.5493811967395009,,0.09995,10,True,False,False,OTHER
POW,quarter,2026-Q2,0.1616,0.0633,,6.15,0.94,0.1336,1.3911,6286994060803.68,PARTIAL,csv,2026,2,8106,14418478123995.99,1489696569265.35,3.220318547087839,,0.09612499999999999,10,True,False,False,OTHER
REE,quarter,2026-Q2,0.1255,0.0659,,11.1,1.35,0.321,0.6051,2641877795387.9,PARTIAL,csv,2026,2,8106,10389259098455.95,2392745220320.08,0.10411997606435218,,0.128175,10,False,True,False,OTHER
VCI,quarter,2026-Q2,0.0893,0.0408,,15.47,1.38,0.262,1.3181,1538155017566.73,PARTIAL,csv,2026,2,8106,5890494518544.04,989079126958.02,0.5551384875519819,,0.08905,10,True,False,False,SECURITIES
VIC,quarter,2026-Q2,0.139,0.0181,,87.63,10.95,0.0648,5.8313,21364625492979.48,PARTIAL,csv,2026,2,8106,53207974229328.07,13435080095567.4,0.5902119928580295,,0.09005,10,True,False,False,OTHER
