symbol,resolution,time,open,high,low,close,volume,source
FPT,15,2026-07-23 09:15:00,59.09,59.73,58.91,58.91,424400,DNSE
FPT,15,2026-07-23 09:30:00,58.82,58.91,58.55,58.64,395300,DNSE
FPT,15,2026-07-23 09:45:00,58.64,59.36,58.36,58.91,503000,DNSE
FPT,15,2026-07-23 10:00:00,59.0,59.36,58.55,59.27,354700,DNSE
FPT,15,2026-07-23 10:15:00,59.27,59.27,58.91,59.09,208800,DNSE
FPT,15,2026-07-23 10:30:00,59.09,59.18,58.64,58.64,235300,DNSE
FPT,15,2026-07-23 10:45:00,58.73,59.0,58.73,59.0,284000,DNSE
FPT,15,2026-07-23 11:00:00,59.0,59.0,58.64,58.73,268100,DNSE
FPT,15,2026-07-23 11:15:00,58.73,58.82,58.64,58.82,331700,DNSE
FPT,15,2026-07-23 13:00:00,58.64,59.36,58.64,59.36,802400,DNSE
FPT,15,2026-07-23 13:15:00,59.36,59.55,59.0,59.18,294900,DNSE
FPT,15,2026-07-23 13:30:00,59.18,59.45,59.09,59.27,588500,DNSE
FPT,15,2026-07-23 13:45:00,59.27,59.36,58.82,58.91,325000,DNSE
FPT,15,2026-07-23 14:00:00,58.91,59.36,58.91,59.09,313200,DNSE
FPT,15,2026-07-23 14:15:00,59.09,59.27,58.91,58.91,389300,DNSE
FPT,15,2026-07-23 14:45:00,58.82,58.82,58.82,58.82,568700,DNSE
FPT,15,2026-07-24 09:15:00,58.45,58.64,57.45,57.82,635700,DNSE
FPT,15,2026-07-24 09:30:00,57.73,57.82,57.55,57.82,264600,DNSE
FPT,15,2026-07-24 09:45:00,57.73,57.82,57.55,57.55,264600,DNSE
FPT,15,2026-07-24 10:00:00,57.64,57.73,57.55,57.64,145300,DNSE
FPT,15,2026-07-24 10:15:00,57.64,57.73,57.55,57.55,179500,DNSE
FPT,15,2026-07-24 10:30:00,57.55,57.73,57.55,57.73,183000,DNSE
FPT,15,2026-07-24 10:45:00,57.73,58.0,57.64,57.82,223600,DNSE
FPT,15,2026-07-24 11:00:00,57.91,57.91,57.73,57.82,175100,DNSE
FPT,15,2026-07-24 11:15:00,57.91,57.91,57.73,57.91,156400,DNSE
FPT,15,2026-07-24 13:00:00,57.82,57.91,57.64,57.64,364700,DNSE
FPT,15,2026-07-24 13:15:00,57.64,57.82,57.64,57.64,132900,DNSE
FPT,15,2026-07-24 13:30:00,57.73,57.73,57.45,57.55,331100,DNSE
FPT,15,2026-07-24 13:45:00,57.55,57.64,57.18,57.18,869900,DNSE
FPT,15,2026-07-24 14:00:00,57.27,57.55,57.18,57.27,630300,DNSE
FPT,15,2026-07-24 14:15:00,57.27,57.36,57.09,57.18,733000,DNSE
FPT,15,2026-07-24 14:45:00,57.18,57.18,57.18,57.18,515100,DNSE
FPT,15,2026-07-27 09:15:00,57.36,57.73,56.55,57.64,660900,DNSE
FPT,15,2026-07-27 09:30:00,57.73,57.91,57.36,57.91,210600,DNSE
FPT,15,2026-07-27 09:45:00,57.91,57.91,57.36,57.36,128400,DNSE
FPT,15,2026-07-27 10:00:00,57.45,57.45,57.18,57.18,159800,DNSE
FPT,15,2026-07-27 10:15:00,57.18,57.45,57.18,57.18,88700,DNSE
FPT,15,2026-07-27 10:30:00,57.18,57.27,57.09,57.18,144100,DNSE
FPT,15,2026-07-27 10:45:00,57.18,57.18,56.91,57.09,118400,DNSE
FPT,15,2026-07-27 11:00:00,57.18,57.27,57.09,57.27,93400,DNSE
FPT,15,2026-07-27 11:15:00,57.27,57.45,57.18,57.45,86200,DNSE
FPT,15,2026-07-27 13:00:00,57.36,57.73,57.18,57.45,357500,DNSE
FPT,15,2026-07-27 13:15:00,57.45,57.55,57.18,57.27,315400,DNSE
FPT,15,2026-07-27 13:30:00,57.27,57.36,57.18,57.18,163200,DNSE
FPT,15,2026-07-27 13:45:00,57.18,57.36,57.09,57.27,246400,DNSE
FPT,15,2026-07-27 14:00:00,57.27,57.36,57.09,57.09,357400,DNSE
FPT,15,2026-07-27 14:15:00,57.09,57.18,56.91,56.91,603200,DNSE
FPT,15,2026-07-27 14:45:00,56.55,56.55,56.55,56.55,715900,DNSE
FPT,15,2026-07-28 09:15:00,56.27,56.82,55.91,56.55,645400,DNSE
FPT,15,2026-07-28 09:30:00,56.55,56.73,56.55,56.64,275300,DNSE
FPT,15,2026-07-28 09:45:00,56.55,56.64,56.27,56.36,418800,DNSE
FPT,15,2026-07-28 10:00:00,56.36,56.55,56.27,56.45,240800,DNSE
FPT,15,2026-07-28 10:15:00,56.45,56.64,56.27,56.36,329600,DNSE
FPT,15,2026-07-28 10:30:00,56.36,56.55,56.36,56.36,109500,DNSE
FPT,15,2026-07-28 10:45:00,56.36,56.73,56.36,56.73,330600,DNSE
FPT,15,2026-07-28 11:00:00,56.73,57.09,56.64,57.0,304200,DNSE
FPT,15,2026-07-28 11:15:00,57.0,57.09,56.91,57.0,126900,DNSE
FPT,15,2026-07-28 13:00:00,57.0,57.55,56.91,57.45,523200,DNSE
