symbol,resolution,time,open,high,low,close,volume,source
FPT,1D,2026-04-24 09:00:00,66.35,66.45,65.65,65.82,10459800,DNSE
FPT,1D,2026-04-28 09:00:00,65.82,66.72,65.37,66.72,9503800,DNSE
FPT,1D,2026-04-29 09:00:00,65.82,67.7,65.82,67.7,9163000,DNSE
FPT,1D,2026-05-04 09:00:00,67.16,67.35,66.0,66.09,8285900,DNSE
FPT,1D,2026-05-05 09:00:00,66.09,66.81,65.28,66.63,6841400,DNSE
FPT,1D,2026-05-06 09:00:00,66.54,66.54,65.46,65.73,9455600,DNSE
FPT,1D,2026-05-07 09:00:00,66.27,66.63,65.46,65.46,10186100,DNSE
FPT,1D,2026-05-08 09:00:00,65.65,65.73,64.47,64.47,13444300,DNSE
FPT,1D,2026-05-11 09:00:00,64.3,64.3,62.77,62.77,16909100,DNSE
FPT,1D,2026-05-12 09:00:00,62.86,64.12,62.77,63.31,8533300,DNSE
FPT,1D,2026-05-13 09:00:00,63.31,64.12,62.77,63.4,11517600,DNSE
FPT,1D,2026-05-14 09:00:00,63.75,67.53,63.67,66.27,21565500,DNSE
FPT,1D,2026-05-15 09:00:00,66.54,66.54,65.19,65.37,6386100,DNSE
FPT,1D,2026-05-18 09:00:00,65.37,67.53,64.56,67.16,18323700,DNSE
FPT,1D,2026-05-19 09:00:00,67.25,67.97,66.63,66.81,11279900,DNSE
FPT,1D,2026-05-20 09:00:00,67.07,70.39,65.28,69.67,25976600,DNSE
FPT,1D,2026-05-21 09:00:00,69.67,69.85,67.88,68.6,11809100,DNSE
FPT,1D,2026-05-22 09:00:00,68.87,69.59,67.35,67.35,11668800,DNSE
FPT,1D,2026-05-25 09:00:00,66.9,67.79,65.91,65.91,10441000,DNSE
FPT,1D,2026-05-26 09:00:00,66.0,66.9,66.0,66.81,5104800,DNSE
FPT,1D,2026-05-27 09:00:00,66.81,67.53,65.55,66.0,9176300,DNSE
FPT,1D,2026-05-28 09:00:00,66.18,66.45,64.73,64.73,10646900,DNSE
FPT,1D,2026-05-29 09:00:00,64.73,65.91,64.36,65.09,5446700,DNSE
FPT,1D,2026-06-01 09:00:00,65.64,66.73,65.55,66.27,5972700,DNSE
FPT,1D,2026-06-02 09:00:00,66.36,68.73,66.36,68.0,17368000,DNSE
FPT,1D,2026-06-03 09:00:00,68.27,70.64,68.18,69.55,25278600,DNSE
FPT,1D,2026-06-04 09:00:00,69.73,70.18,68.91,69.18,11304700,DNSE
FPT,1D,2026-06-05 09:00:00,69.09,69.09,67.55,68.18,11218100,DNSE
FPT,1D,2026-06-08 09:00:00,67.0,67.73,66.18,66.27,10914200,DNSE
FPT,1D,2026-06-09 09:00:00,66.73,67.45,66.0,67.0,7772300,DNSE
FPT,1D,2026-06-10 09:00:00,66.82,67.73,66.82,67.45,4736000,DNSE
FPT,1D,2026-06-11 09:00:00,67.18,67.18,66.45,66.45,3507300,DNSE
FPT,1D,2026-06-12 09:00:00,66.91,67.55,66.82,66.82,5688200,DNSE
FPT,1D,2026-06-15 09:00:00,67.64,68.36,66.82,66.91,6422700,DNSE
FPT,1D,2026-06-16 09:00:00,67.0,67.45,66.45,66.55,5819800,DNSE
FPT,1D,2026-06-17 09:00:00,66.64,66.73,65.64,65.73,10652200,DNSE
FPT,1D,2026-06-18 09:00:00,65.73,65.73,65.0,65.09,13665800,DNSE
FPT,1D,2026-06-19 09:00:00,65.09,65.27,64.36,65.0,14295100,DNSE
FPT,1D,2026-06-22 09:00:00,65.0,65.18,63.91,64.18,9260100,DNSE
FPT,1D,2026-06-23 09:00:00,64.45,65.27,64.27,64.36,5737500,DNSE
FPT,1D,2026-06-24 09:00:00,64.55,64.73,63.73,64.36,5968500,DNSE
FPT,1D,2026-06-25 09:00:00,64.55,65.18,64.36,64.55,6592100,DNSE
FPT,1D,2026-06-26 09:00:00,64.82,64.82,63.91,64.36,4333200,DNSE
FPT,1D,2026-06-29 09:00:00,64.27,64.36,63.82,64.0,4618200,DNSE
FPT,1D,2026-06-30 09:00:00,64.09,64.36,63.82,63.82,6075800,DNSE
