symbol,resolution,time,open,high,low,close,volume,source
ACB,15,2026-09-14 09:15:00,22.05,22.1,22.0,22.05,245700,DNSE
ACB,15,2026-09-14 09:30:00,22.05,22.05,22.0,22.05,86700,DNSE
ACB,15,2026-09-14 09:45:00,22.05,22.1,22.0,22.1,170200,DNSE
ACB,15,2026-09-14 10:00:00,22.1,22.1,22.0,22.05,173600,DNSE
ACB,15,2026-09-14 10:15:00,22.0,22.15,22.0,22.1,663800,DNSE
ACB,15,2026-09-14 10:30:00,22.1,22.1,22.05,22.1,27800,DNSE
ACB,15,2026-09-14 10:45:00,22.1,22.1,22.05,22.1,204200,DNSE
ACB,15,2026-09-14 11:00:00,22.1,22.1,22.05,22.1,115600,DNSE
ACB,15,2026-09-14 11:15:00,22.05,22.1,22.05,22.1,49600,DNSE
ACB,15,2026-09-14 13:00:00,22.1,22.1,22.05,22.1,728000,DNSE
ACB,15,2026-09-14 13:15:00,22.05,22.1,22.05,22.05,181900,DNSE
ACB,15,2026-09-14 13:30:00,22.05,22.1,22.0,22.05,601300,DNSE
ACB,15,2026-09-14 13:45:00,22.05,22.1,22.0,22.05,1102900,DNSE
ACB,15,2026-09-14 14:00:00,22.05,22.1,22.0,22.0,327500,DNSE
ACB,15,2026-09-14 14:15:00,22.0,22.1,21.95,22.1,964400,DNSE
ACB,15,2026-09-14 14:45:00,22.05,22.05,22.05,22.05,264300,DNSE
ACB,15,2026-09-15 09:15:00,22.2,22.2,22.0,22.05,703900,DNSE
ACB,15,2026-09-15 09:30:00,22.05,22.1,22.05,22.1,167400,DNSE
ACB,15,2026-09-15 09:45:00,22.1,22.1,22.05,22.1,115700,DNSE
ACB,15,2026-09-15 10:00:00,22.05,22.1,22.0,22.05,1024900,DNSE
ACB,15,2026-09-15 10:15:00,22.05,22.1,22.0,22.05,521100,DNSE
ACB,15,2026-09-15 10:30:00,22.05,22.1,22.0,22.1,187700,DNSE
ACB,15,2026-09-15 10:45:00,22.1,22.1,22.0,22.0,562400,DNSE
ACB,15,2026-09-15 11:00:00,22.0,22.05,22.0,22.05,142800,DNSE
ACB,15,2026-09-15 11:15:00,22.05,22.1,22.0,22.05,97400,DNSE
ACB,15,2026-09-15 13:00:00,22.05,22.1,22.05,22.1,556600,DNSE
ACB,15,2026-09-15 13:15:00,22.1,22.15,22.05,22.1,475700,DNSE
ACB,15,2026-09-15 13:30:00,22.1,22.1,22.05,22.1,96300,DNSE
ACB,15,2026-09-15 13:45:00,22.1,22.15,22.05,22.15,502500,DNSE
ACB,15,2026-09-15 14:00:00,22.15,22.2,22.1,22.2,298000,DNSE
ACB,15,2026-09-15 14:15:00,22.2,22.3,22.1,22.15,859900,DNSE
ACB,15,2026-09-15 14:45:00,22.1,22.1,22.1,22.1,565000,DNSE
ACB,15,2026-09-16 09:15:00,22.1,22.15,22.1,22.1,111100,DNSE
ACB,15,2026-09-16 09:30:00,22.15,22.15,22.1,22.15,86700,DNSE
ACB,15,2026-09-16 09:45:00,22.1,22.15,22.1,22.1,129900,DNSE
ACB,15,2026-09-16 10:00:00,22.1,22.15,22.05,22.1,233600,DNSE
ACB,15,2026-09-16 10:15:00,22.1,22.15,22.05,22.1,337800,DNSE
ACB,15,2026-09-16 10:30:00,22.1,22.15,22.1,22.1,95600,DNSE
ACB,15,2026-09-16 10:45:00,22.1,22.15,22.05,22.05,84900,DNSE
ACB,15,2026-09-16 11:00:00,22.05,22.1,22.05,22.1,59200,DNSE
ACB,15,2026-09-16 11:15:00,22.1,22.1,22.05,22.05,186800,DNSE
ACB,15,2026-09-16 13:00:00,22.05,22.15,22.05,22.15,334700,DNSE
ACB,15,2026-09-16 13:15:00,22.1,22.2,22.1,22.15,372000,DNSE
ACB,15,2026-09-16 13:30:00,22.15,22.25,22.15,22.2,527200,DNSE
ACB,15,2026-09-16 13:45:00,22.2,22.3,22.15,22.25,710000,DNSE
ACB,15,2026-09-16 14:00:00,22.3,22.4,22.2,22.4,779900,DNSE
ACB,15,2026-09-16 14:15:00,22.4,22.4,22.25,22.35,817700,DNSE
ACB,15,2026-09-16 14:45:00,22.6,22.6,22.6,22.6,3150700,DNSE
ACB,15,2026-09-17 09:15:00,22.45,22.55,22.35,22.45,682000,DNSE
ACB,15,2026-09-17 09:30:00,22.45,22.45,22.4,22.4,88600,DNSE
ACB,15,2026-09-17 09:45:00,22.4,22.5,22.4,22.45,154400,DNSE
ACB,15,2026-09-17 10:00:00,22.45,22.5,22.4,22.45,182600,DNSE
ACB,15,2026-09-17 10:15:00,22.45,22.6,22.45,22.55,339500,DNSE
ACB,15,2026-09-17 10:30:00,22.6,22.6,22.5,22.5,278700,DNSE
ACB,15,2026-09-17 10:45:00,22.5,22.55,22.45,22.55,205000,DNSE
ACB,15,2026-09-17 11:00:00,22.55,22.6,22.5,22.55,217300,DNSE
ACB,15,2026-09-17 11:15:00,22.55,22.6,22.5,22.6,140300,DNSE
ACB,15,2026-09-17 13:00:00,22.55,22.6,22.5,22.55,392100,DNSE
ACB,15,2026-09-17 13:15:00,22.55,22.55,22.5,22.5,122900,DNSE
ACB,15,2026-09-17 13:30:00,22.55,22.6,22.45,22.55,830400,DNSE
ACB,15,2026-09-17 13:45:00,22.6,22.6,22.45,22.45,335700,DNSE
ACB,15,2026-09-17 14:00:00,22.5,22.6,22.45,22.6,238100,DNSE
ACB,15,2026-09-17 14:15:00,22.6,22.65,22.5,22.65,1584200,DNSE
ACB,15,2026-09-17 14:45:00,22.8,22.8,22.8,22.8,3447400,DNSE
ACB,15,2026-09-18 09:15:00,22.8,22.85,22.75,22.75,360200,DNSE
ACB,15,2026-09-18 09:30:00,22.75,22.75,22.7,22.75,76100,DNSE
ACB,15,2026-09-18 09:45:00,22.7,22.7,22.65,22.65,199500,DNSE
ACB,15,2026-09-18 10:00:00,22.65,22.7,22.6,22.65,72200,DNSE
ACB,15,2026-09-18 10:15:00,22.65,22.8,22.65,22.7,288400,DNSE
ACB,15,2026-09-18 10:30:00,22.7,22.75,22.65,22.7,137600,DNSE
ACB,15,2026-09-18 10:45:00,22.75,22.8,22.7,22.75,282000,DNSE
ACB,15,2026-09-18 11:00:00,22.8,22.8,22.75,22.8,162900,DNSE
ACB,15,2026-09-18 11:15:00,22.75,22.8,22.75,22.75,124400,DNSE
ACB,15,2026-09-18 13:00:00,22.75,22.8,22.7,22.7,300300,DNSE
ACB,15,2026-09-18 13:15:00,22.7,22.75,22.65,22.65,186600,DNSE
