symbol,resolution,time,open,high,low,close,volume,source
ACB,1D,2025-10-01 09:00:00,22.14,22.36,22.01,22.23,10480500,DNSE
ACB,1D,2025-10-02 09:00:00,22.31,22.57,22.14,22.19,10937500,DNSE
ACB,1D,2025-10-03 09:00:00,22.19,22.27,21.97,22.1,9813400,DNSE
ACB,1D,2025-10-06 09:00:00,22.53,23.09,22.31,23.09,20288600,DNSE
ACB,1D,2025-10-07 09:00:00,23.18,23.18,22.79,22.79,12389800,DNSE
ACB,1D,2025-10-08 09:00:00,22.96,23.13,22.92,23.05,18228000,DNSE
ACB,1D,2025-10-09 09:00:00,23.09,23.22,22.92,23.22,16388600,DNSE
ACB,1D,2025-10-10 09:00:00,23.31,23.43,23.09,23.22,16337400,DNSE
ACB,1D,2025-10-13 09:00:00,22.87,23.09,22.75,23.05,18373300,DNSE
ACB,1D,2025-10-14 09:00:00,23.05,23.22,22.62,22.66,18531600,DNSE
ACB,1D,2025-10-15 09:00:00,22.75,22.96,22.53,22.66,14416100,DNSE
ACB,1D,2025-10-16 09:00:00,22.75,22.87,22.53,22.66,13461000,DNSE
ACB,1D,2025-10-17 09:00:00,22.66,22.75,22.19,22.19,16289600,DNSE
ACB,1D,2025-10-20 09:00:00,22.06,22.1,21.19,21.37,32231800,DNSE
ACB,1D,2025-10-21 09:00:00,21.41,21.8,21.41,21.54,19371400,DNSE
ACB,1D,2025-10-22 09:00:00,21.71,21.8,21.24,21.63,15620500,DNSE
ACB,1D,2025-10-23 09:00:00,21.63,21.71,21.5,21.5,8751200,DNSE
ACB,1D,2025-10-24 09:00:00,21.5,21.8,21.37,21.54,11724500,DNSE
ACB,1D,2025-10-27 09:00:00,21.8,22.01,21.5,21.54,10208700,DNSE
ACB,1D,2025-10-28 09:00:00,21.63,21.88,21.58,21.88,10305300,DNSE
ACB,1D,2025-10-29 09:00:00,21.88,22.01,21.8,21.88,6350700,DNSE
ACB,1D,2025-10-30 09:00:00,21.97,22.14,21.54,21.63,9309300,DNSE
ACB,1D,2025-10-31 09:00:00,21.8,21.97,21.58,21.97,12748200,DNSE
ACB,1D,2025-11-03 09:00:00,21.88,22.31,21.8,21.93,13864900,DNSE
ACB,1D,2025-11-04 09:00:00,21.93,22.49,21.88,22.4,17972000,DNSE
ACB,1D,2025-11-05 09:00:00,22.23,22.31,22.01,22.06,6212200,DNSE
ACB,1D,2025-11-06 09:00:00,22.01,22.14,21.8,21.8,6525200,DNSE
ACB,1D,2025-11-07 09:00:00,21.75,21.8,21.41,21.45,12107200,DNSE
ACB,1D,2025-11-10 09:00:00,21.45,21.71,21.28,21.37,7222900,DNSE
ACB,1D,2025-11-11 09:00:00,21.41,21.58,21.37,21.41,6962300,DNSE
ACB,1D,2025-11-12 09:00:00,21.54,21.71,21.37,21.71,6319100,DNSE
ACB,1D,2025-11-13 09:00:00,21.71,21.71,21.54,21.63,5637200,DNSE
ACB,1D,2025-11-14 09:00:00,21.63,21.63,21.45,21.5,6763400,DNSE
ACB,1D,2025-11-17 09:00:00,21.54,21.67,21.5,21.67,3945100,DNSE
ACB,1D,2025-11-18 09:00:00,21.71,21.88,21.58,21.63,6387000,DNSE
ACB,1D,2025-11-19 09:00:00,21.67,21.67,21.41,21.45,5994400,DNSE
ACB,1D,2025-11-20 09:00:00,21.54,21.54,21.37,21.37,6153200,DNSE
ACB,1D,2025-11-21 09:00:00,21.32,21.41,21.19,21.28,7299200,DNSE
ACB,1D,2025-11-24 09:00:00,21.28,21.41,21.19,21.19,7081700,DNSE
ACB,1D,2025-11-25 09:00:00,21.24,21.28,20.76,20.85,15856700,DNSE
ACB,1D,2025-11-26 09:00:00,20.85,21.02,20.81,20.85,9003200,DNSE
ACB,1D,2025-11-27 09:00:00,21.07,21.11,20.94,20.98,7791600,DNSE
ACB,1D,2025-11-28 09:00:00,20.98,21.07,20.89,20.89,5358800,DNSE
ACB,1D,2025-12-01 09:00:00,20.94,20.98,20.68,20.68,9243000,DNSE
ACB,1D,2025-12-02 09:00:00,20.72,20.81,20.55,20.63,15503200,DNSE
